User_ID,Hobbies,Favorite_Music,Ideal_First_Date,Relationship_Type
489,"Traveling, Movies",Classical,Film Night,Casual
490,"Gaming, Arts",Hip-Hop,Art Class,Long-term
491,"Dancing, Cooking",EDM,Cooking Class,Casual
492,"Photography, Hiking",R&B,Nature Photography,Long-term
493,"Cooking, Fitness",Indie,Fitness Retreat,Casual
494,"Traveling, Sports",Pop,Adventure Sports,Long-term
495,"Gaming, Movies",Rock,Game Night,Casual
496,"Reading, Traveling",Jazz,Bookstore Visit,Long-term
497,"Dancing, Crafting",Classical,Craft Night,Casual
498,"Photography, Cooking",Hip-Hop,Culinary Class,Long-term
499,"Cooking, Hiking",R&B,Picnic in the Park,Casual
500,"Traveling, Fitness",EDM,Outdoor Adventure,Long-term
